Index,Reconstruction_Error,Anomaly_Score,Is_Anomaly,Severity,Date,Top_Problematic_Features
110,0.5750444356610761,0.8250766153133772,False,Normal,2020-05-20,
111,0.5563940036475692,0.7983168827335004,False,Normal,2020-05-21,
112,0.5385313214673361,0.7726874175309681,False,Normal,2020-05-22,
113,0.5406388877198797,0.7757113640685924,False,Normal,2020-05-23,
114,0.5489846236063608,0.7876858674121491,False,Normal,2020-05-24,
115,0.5682305500021901,0.8153000182924827,False,Normal,2020-05-25,
116,0.564358558764299,0.8097444660134494,False,Normal,2020-05-26,
117,0.5689293081390093,0.816302599941302,False,Normal,2020-05-27,
118,0.563177184291033,0.8080494240456069,False,Normal,2020-05-28,
119,0.5610431051015954,0.804987436614309,False,Normal,2020-05-29,
120,0.5496156977294372,0.7885913357015364,False,Normal,2020-05-30,
121,0.5553192022869602,0.796774752397562,False,Normal,2020-05-31,
122,0.5796767607923123,0.8317230984428376,False,Normal,2020-06-01,
123,0.5792444614804695,0.8311028332408841,False,Normal,2020-06-02,
124,0.5700423521974982,0.8178996010902949,False,Normal,2020-06-03,
125,0.5555761050035376,0.7971433576925856,False,Normal,2020-06-04,
126,0.5476094246337891,0.7857127250890389,False,Normal,2020-06-05,
127,0.5451415036630421,0.7821717398101118,False,Normal,2020-06-06,
128,0.5413229859758271,0.7766929116474504,False,Normal,2020-06-07,
129,0.5784938931270412,0.8300259140356822,False,Normal,2020-06-08,
130,0.5843065842713141,0.8383659921892344,False,Normal,2020-06-09,
131,0.5858266587528547,0.8405470026129104,False,Normal,2020-06-10,
132,0.6048692875737739,0.8678694611220007,False,Normal,2020-06-11,
133,0.6007489617118371,0.8619575970897077,False,Normal,2020-06-12,
134,0.6215347958368254,0.8917812152360078,False,Normal,2020-06-13,
135,0.628219122201899,0.9013719199379927,False,Normal,2020-06-14,
136,0.6377102637535851,0.9149898570247551,False,Normal,2020-06-15,
137,0.6581655400890845,0.9443391892112173,False,Normal,2020-06-16,
138,0.6726610260090333,0.9651373844783447,False,Normal,2020-06-17,
139,0.659882035035935,0.9468020246950906,False,Normal,2020-06-18,
140,0.6505249986806763,0.9333765024109112,False,Normal,2020-06-19,
141,0.6570073141682459,0.9426773609014883,False,Normal,2020-06-20,
142,0.6598357258588429,0.9467355800575571,False,Normal,2020-06-21,
143,0.6632192049906528,0.9515902127379827,False,Normal,2020-06-22,
144,0.6713861317182954,0.9633081598114281,False,Normal,2020-06-23,
145,0.6560888982735239,0.9413596132095277,False,Normal,2020-06-24,
146,0.6705053489232218,0.9620444082779485,False,Normal,2020-06-25,
147,0.6570199762357252,0.9426955284988613,False,Normal,2020-06-26,
148,0.6597563921245828,0.9466217516212064,False,Normal,2020-06-27,
149,0.6802266863934868,0.9759926316131844,False,Normal,2020-06-28,
150,0.7054546562919812,1.0121898482528835,True,Low,2020-06-29,"WindSpeed (km/h), Sulfate, Solids"
151,0.6846813475210971,0.982384201546926,False,Normal,2020-06-30,
152,0.6736866026557536,0.9666088869500583,False,Normal,2020-07-01,
153,0.6687010903009005,0.9594556490361632,False,Normal,2020-07-02,
154,0.6873227804399699,0.986174142631697,False,Normal,2020-07-03,
155,0.6908699627017559,0.9912636573769176,False,Normal,2020-07-04,
156,0.6813275757157489,0.9775721930862076,False,Normal,2020-07-05,
157,0.6802325357591231,0.9760010243120815,False,Normal,2020-07-06,
158,0.6877185147534334,0.9867419441921808,False,Normal,2020-07-07,
159,0.663635783558548,0.9521879217383593,False,Normal,2020-07-08,
160,0.6497855697751685,0.9323155661409692,False,Normal,2020-07-09,
161,0.6381934041152552,0.9156830692177741,False,Normal,2020-07-10,
